ST. Anthonys Distributor (2024 -2025),,,,
ORANGE MAIN LOCATION,,,,
Location Summary,,,,
1-Jan-26 to 1-Jun-26,,,,
,ORANGE MAIN LOCATION,,,
,ST. Anthonys Distributor (2024 -2025),,,
Particulars,1-Jan-26 to 1-Jun-26,,,
,Closing Balance,,,
,Quantity,Rate,Value,
360-1372 (ORANGE SIGMA MCB 4P 20A TYPE C),,,,
363-1386 (ORANGE SIGMA RCD 4P 63A 100MA),,,,
ORANGE AK Bell Press 10A Switch BLACK MAT,,,,
ORANGE X5 1G 2W B/PRESS SWITCH,,,,
X05-0250 (ORANGE X5 5G 2W 10A SWITCH),,,,
X05-0270 (ORANGE X5 400W LIGHT DIMMER),,,,
X05-1190 (ORANGE X5 75 OHM TELEVISION OUTLET),,,,
X07-0120 (ORANGE X7 2G 1W 10A SWITCH),,,,
X07-0140,,,,
X07-0180 (ORANGE X7 1G 2W BELL PRESS),,,,
X07-0210 (ORANGE X7 1G 2W 10A SWITCH),,,,
X07-0270 (ORANGE X7 LIGHT DIMMER),,,,
X07-0320 (ORANGE X7 DOUBLE POLE SWITCH),,,,
ALLIED ACCESSORIES,3341 NOS,388.67,1298544.53,
187-1004 (ORANGE 13A TRAILER SOC 5MTR WIRE),70 NOS,4245.94,297215.49,
187-1008 (ORANGE 13A TRAILER SOC 7MTR WIRE),40 NOS,5002.54,200101.70,
187-1010 (ORANGE 13A TRAILER SOC 10MTR WIRE),3 NOS,6065.16,18195.49,
187-1026 (ORANGE X5 13A PLUG TOP),424 NOS,319.66,135536.93,
187-1035 (ORANGE 13A-5A CONVERTER),,,,
187-1036 (ORANGE 13A 3W ADAPTER W/NEON & FUSE),8 NOS,1038.57,8308.55,
187-1037 (ORANGE X5 SINGLE MOUNTING BOX-SURFACE),55 NOS,451.05,24807.76,
187-1039 (ORANGE X5 TWIN MOUNTING BOX-SURFACE),81 NOS,204.69,16579.51,
187-1041 (ORANGE MOUNTING BOX SURFACE 4 WAY),,,,
187-1042 (ORANGE SINGLE MOUNTING BOX-SUNK),685 NOS,94.23,64546.10,
187-1043 (ORANGE DOUBLE MOUNTING BOX-SUNK),110 NOS,227.62,25038.72,
187-1044 (ORANGE TWIN MOUNTING BOX-SUNK),,,,
187-1047 (ORANGE MOUNTING BOX SUNK 3 WAY),207 NOS,,,
187-1048 (ORANGE UNIVERSAL SUNK BOX 42MM DEPTH),,,,
187-1049 (ORANGE 10A CEILING ROSE),-1 NOS,224.73,-224.73,
187-1051 (ORANGE STRAIGHT BATTEN HOLDER),97 NOS,203.10,19700.87,
187-1052 (ORANGE ANGLE BATTEN HOLDER),12 NOS,202.88,2434.59,
187-1053 (ORANGE LAMP HOLDER),549 NOS,160.73,88241.08,
187-1055 (ORANGE 10W SURFACE DISTRIBUTION BOX),10 NOS,1564.54,15645.38,
187-1056 (ORANGE 10W SUNK DISTRIBUTION BOX),21 NOS,1572.10,33014.11,
