ST. Anthonys Distributor (2024 -2025),,,,
SWISSTEK,,,,
Location Summary,,,,
1-Jan-26 to 1-Jun-26,,,,
,SWISSTEK,,,
,ST. Anthonys Distributor (2024 -2025),,,
Particulars,1-Jan-26 to 1-Jun-26,,,
,Closing Balance,,,
,Quantity,Rate,Value,
SWISSTEK,238 NOS,835.63,198880.18,
DIY,118 NOS,1265.39,149315.78,
POLYMER GROUT,120 NOS,413.04,49564.40,
FABD2775W205NFPRO (SWISSTEK BATH DO(FULL PAN)WALNUT 27X75 GEN-RIG),,,,
TILE BEEDING,180 NOS,703.82,126687.66,
SWISSTEK TILE BEADING 1203 GL 8FT,180 NOS,703.82,126687.66,
TILE CLEANER,113 NOS,368.48,41638.29,
SWISSTEK TILE CLEANER HEAVY DUTY 1LT,50 NOS,464.09,23204.72,
SWISSTEK TILE CLEANER HEAVY DUTY 500ML,63 NOS,292.60,18433.57,
TILE GROUT,5562 NOS,231.77,1289106.19,
GAGSPG-CBBL-041-01 (SWISSTEK SUPER POLYMER TILE GROUT 1KG CO/BLUE),,,,
GAGSPG-DKGR-010-01 (SWISSTEK SUPER POLYMER TILE GROUT 1KG D/GREY),,,,
GAGSPG-TMLN-084-01 (SWISSTEK SUPER POLYMER GROUT - TORMALINE 1KG),40 NOS,417.02,16680.80,
GAQSPG-020-00C (SWISSTEK SUPER POLYMER TILE GROUT 1KG S/GREY),60 NOS,391.91,23514.70,
GAQSPG-040-00C (SWISSTEK SUPER POLYMER TILE GROUT 1KG L/BLUE),100 NOS,385.33,38533.13,
GAQSPG-042-00C (SWISSTEK SUPER POLYMER TILE GROUT 1KG D/BLUE),40 NOS,381.07,15242.80,
GAQSPG-060-00C (SWISSTEK SUPER POLYMER TILE GROUT 1KG BLACK),160 NOS,407.60,65216.70,
GAQSPG-085-00C (SWISSTEK SUPER POLYMER TILE GROUT 1KG BLUE),40 NOS,387.30,15492.15,
SWISSTEK POLYMER TILE GROUT 1KG AVACADO GREEN 069,48 NOS,197.57,9483.23,
SWISSTEK POLYMER TILE GROUT 1KG BAMBOO 061,62 NOS,205.72,12754.45,
SWISSTEK POLYMER TILE GROUT 1KG BEIGE 022,48 NOS,206.63,9918.27,
SWISSTEK POLYMER TILE GROUT 1KG B/GREY,40 NOS,,,
SWISSTEK POLYMER TILE GROUT 1KG BLACK 060,1 NOS,214.84,214.84,
SWISSTEK POLYMER TILE GROUT 1KG BLUE 085,160 NOS,202.25,32360.00,
SWISSTEK POLYMER TILE GROUT 1KG BLUISH GREY,302 NOS,214.71,64843.56,
SWISSTEK POLYMER TILE GROUT 1KG BROWN 025,227 NOS,213.87,48547.39,
SWISSTEK POLYMER TILE GROUT 1KG COBOLT BLUE,120 NOS,199.39,23926.23,
SWISSTEK POLYMER TILE GROUT 1KG CREAM 015,124 NOS,208.64,25871.06,
SWISSTEK POLYMER TILE GROUT 1KG CREAMISH GREY 009,281 NOS,215.06,60431.37,
SWISSTEK POLYMER TILE GROUT 1KG DARK BLUE 042,6 NOS,208.13,1248.80,
SWISSTEK POLYMER TILE GROUT 1KG DARK GREY 010,120 NOS,214.18,25701.86,
SWISSTEK POLYMER TILE GROUT 1KG DOVE GREY 066,232 NOS,212.10,49206.99,
SWISSTEK POLYMER TILE GROUT 1KG IVORY 014,241 NOS,206.79,49836.07,
SWISSTEK POLYMER TILE GROUT 1KG L/BLUE 040,120 NOS,206.22,24746.64,
SWISSTEK POLYMER TILE GROUT 1KG LE/BROWN 064,139 NOS,209.86,29170.37,
SWISSTEK POLYMER TILE GROUT 1KG L/GREY 074,384 NOS,214.81,82485.72,
SWISSTEK POLYMER TILE GROUT 1KG LILY WHITE 007,711 NOS,206.65,146927.71,
SWISSTEK POLYMER TILE GROUT 1KG OFF WHITE 005,42 NOS,208.23,8745.45,
SWISSTEK POLYMER TILE GROUT 1KG PINK 030,16 NOS,204.61,3273.72,
SWISSTEK POLYMER TILE GROUT 1KG SAHARA SAND 018,242 NOS,212.15,51340.71,
SWISSTEK POLYMER TILE GROUT 1KG SILVER GREY 020,1 NOS,213.10,213.10,
SWISSTEK POLYMER TILE GROUT 1KG TERRA COTA,165 NOS,199.62,32937.57,
SWISSTEK POLYMER TILE GROUT 1KG TORMALINE 84,69 NOS,203.67,14053.33,
SWISSTEK POLYMER TILE GROUT 1KG WHITE 001,89 NOS,210.57,18741.14,
SWISSTEK SUPER POLYMER GROUT-COBALT BL,5 NOS,375.39,1876.97,
SWISSTEK SUPER POLYMER TILE GROUT 1KG IVORY,,,,
SWISSTEK SUPER POLYMER TILE GROUT 1KG L/GREY,,,,
SWISSTEK SUPER POLYMER TILE GROUT 1KG OFF WHITE,,,,
SWISSTEK SUPER POLYMER TILE GROUT 1KG WHITE,1127 NOS,253.39,285569.36,
TILE MOTOR,12471 NOS,1287.64,16058125.11,
MF000-20 (SWISSTEK MASTER FIX TILE ADHESIVE 20KG),976 NOS,820.76,801062.69,
SWISSTEK SUPER PLUS TILE MOTAR (GREEN) 25KG,1636 NOS,1694.54,2772260.70,
SWISSTEK SUPER TILE MOTAR (RED) 25KG,9535 NOS,1236.77,11792618.64,
SWISSTEK ULTRA GRIP TILE ADHESIVE (WHITE) 25KG,,,,
SWISSTEK ULTRA GRIP TILE MOTAR (BLUE) 25KG,324 NOS,2136.37,692183.08,
WEATHERBOND,113 NOS,6185.40,698950.41,
SWISSTEK AQUASHIELD 2K WATERPROOF 25KG,24 NOS,16132.47,387179.34,
SWISSTEK AQUASHIELD 2K WATERPROOF 5KG,89 NOS,3503.05,311771.07,
Grand Total,,,20227162.21,
